ID,Variable 1,Dependency,Variable 2
1,BF_BottleFeeding,->,BF_GoodBreastfeeding
2,BF_BreastfedMonths,->,BF_BottleFeeding
3,BF_BreastfedMonths,->,BF_EarlyBreastfeeding
4,BF_BreastfedMonths,->,BF_GoodBreastfeeding
5,BF_BreastfedMonths,->,IMM_Diptheria
6,BF_EarlyBreastfeeding,->,BF_BottleFeeding
7,BF_EarlyBreastfeeding,->,BF_GoodBreastfeeding
8,BF_GoodBreastfeeding,->,DIA_HadDiarrhoea
9,CHI_Age,->,BF_BottleFeeding
10,CHI_Age,->,BF_BreastfedMonths
11,CHI_Age,->,BF_EarlyBreastfeeding
12,CHI_Age,->,IMM_Diptheria
13,CHI_Age,->,IMM_Measles
14,CHI_Age,->,WSH_SafeStoolDisposal
15,CHI_Weight4Height,->,DIA_HadDiarrhoea
16,CUL_LanguageGroup,->,BF_EarlyBreastfeeding
17,CUL_LanguageGroup,->,HOU_CookingFuel
18,CUL_LanguageGroup,->,HOU_ModernWallMaterial
19,CUL_LanguageGroup,->,KNW_WatchTV
20,CUL_LanguageGroup,->,WSH_ImprovedWaterSource
21,CUL_LanguageGroup,->,WSH_WashWithAgent
22,CUL_LanguageGroup,->,WSH_WaterTreated
23,CUL_Religion,->,CUL_LanguageGroup
24,CUL_Religion,->,FP_ModernMethod
25,CUL_Religion,->,HOU_CookingFuel
26,CUL_Religion,->,HOU_ModernWallMaterial
27,CUL_Religion,->,KNW_WatchTV
28,CUL_Religion,->,MTH_Education
29,CUL_Religion,->,WSH_ImprovedToilet
30,CUL_Religion,->,WSH_ImprovedWaterSource
31,ECO_WealthQuintile,->,HOU_CookingFuel
32,ECO_WealthQuintile,->,HOU_ModernWallMaterial
33,ECO_WealthQuintile,->,KNW_WatchTV
34,ECO_WealthQuintile,->,MTH_Education
35,ECO_WealthQuintile,->,WSH_ImprovedToilet
36,ECO_WealthQuintile,->,WSH_WashWithAgent
37,FP_BirthsLast5Yrs,->,BF_BreastfedMonths
38,FP_BirthsLast5Yrs,->,CHI_Age
39,FP_BirthsLast5Yrs,->,WSH_SafeStoolDisposal
40,FP_ModernMethod,->,CHI_Age
41,FP_ModernMethod,->,FP_BirthsLast5Yrs
42,GEO_Region,->,BF_EarlyBreastfeeding
43,GEO_Region,->,CUL_LanguageGroup
44,GEO_Region,->,CUL_Religion
45,GEO_Region,->,HOU_CookingFuel
46,GEO_Region,->,HOU_ModernWallMaterial
47,GEO_Region,->,KNW_WatchTV
48,GEO_Region,->,WSH_ImprovedToilet
49,GEO_Region,->,WSH_ImprovedWaterSource
50,GEO_Region,->,WSH_WaterTreated
51,HOU_CookingFuel,->,HOU_ModernWallMaterial
52,HOU_CookingFuel,->,WSH_ImprovedWaterSource
53,HOU_ModernWallMaterial,->,WSH_ImprovedWaterSource
54,IMM_Diptheria,->,IMM_Measles
55,IMM_Diptheria,->,IMM_WellProtected
56,IMM_Measles,->,IMM_WellProtected
57,IMM_VitaminA1,->,IMM_Diptheria
58,IMM_VitaminA1,->,IMM_Measles
59,IMM_VitaminA1,->,IMM_WellProtected
60,KNW_WatchTV,->,HOU_ModernWallMaterial
61,MTH_Education,->,FP_BirthsLast5Yrs
62,MTH_Education,->,HOU_ModernWallMaterial
63,MTH_Education,->,KNW_WatchTV
64,MTH_MaternalAge,->,CHI_Age
65,MTH_MaternalAge,->,FP_BirthsLast5Yrs
66,MTH_MaternalAge,->,MTH_Education
67,SRV_Near,->,SRV_Accessible
68,SRV_OKAlone,->,SRV_Near
69,SRV_OKAlone,->,SRV_Accessible
70,WSH_ImprovedToilet,->,WSH_ImprovedWaterSource
71,WSH_ImprovedToilet,->,WSH_SafeStoolDisposal
72,WSH_ImprovedToilet,->,WSH_WashWithAgent
73,WSH_ImprovedToilet,->,WSH_GoodWASH
74,WSH_ImprovedWaterSource,->,WSH_GoodWASH
75,WSH_SafeStoolDisposal,->,WSH_GoodWASH
76,WSH_WashWithAgent,->,WSH_ImprovedWaterSource
77,WSH_WashWithAgent,->,WSH_GoodWASH
78,WSH_WaterTreated,->,WSH_ImprovedToilet
79,WSH_WaterTreated,->,WSH_ImprovedWaterSource
80,WSH_WaterTreated,->,WSH_WashWithAgent
81,WSH_WaterTreated,->,WSH_GoodWASH
82,IMM_WellProtected,->,DIA_HadDiarrhoea
83,WSH_GoodWASH,->,DIA_HadDiarrhoea
