ID,Variable 1,Dependency,Variable 2
1,BF_BottleFeeding,->,BF_BreastfedMonths
2,BF_BottleFeeding,->,BF_EarlyBreastfeeding
3,BF_BottleFeeding,->,BF_GoodBreastfeeding
4,BF_BreastfedMonths,->,BF_EarlyBreastfeeding
5,BF_BreastfedMonths,->,BF_GoodBreastfeeding
6,BF_EarlyBreastfeeding,->,BF_GoodBreastfeeding
7,BF_GoodBreastfeeding,->,DIA_HadDiarrhoea
8,CHI_Age,->,BF_BottleFeeding
9,CHI_Age,->,BF_BreastfedMonths
10,CHI_Age,->,BF_EarlyBreastfeeding
11,CHI_Weight4Height,->,DIA_HadDiarrhoea
12,CUL_LanguageGroup,->,CUL_Religion
13,CUL_Religion,->,HOU_ModernWallMaterial
14,CUL_Religion,->,KNW_WatchTV
15,FP_BirthsLast5Yrs,->,BF_BreastfedMonths
16,FP_BirthsLast5Yrs,->,CHI_Age
17,GEO_Region,->,CUL_LanguageGroup
18,IMM_Diptheria,->,IMM_Measles
19,IMM_Diptheria,->,IMM_VitaminA1
20,IMM_Diptheria,->,IMM_WellProtected
21,IMM_Measles,->,IMM_VitaminA1
22,IMM_Measles,->,IMM_WellProtected
23,IMM_VitaminA1,->,IMM_WellProtected
24,KNW_WatchTV,->,MTH_Education
25,MTH_MaternalAge,->,CHI_Age
26,MTH_MaternalAge,->,FP_BirthsLast5Yrs
27,SRV_Near,->,SRV_OKAlone
28,SRV_Near,->,SRV_Accessible
29,SRV_OKAlone,->,SRV_Accessible
30,WSH_ImprovedToilet,->,WSH_GoodWASH
31,IMM_WellProtected,->,DIA_HadDiarrhoea
32,WSH_GoodWASH,->,DIA_HadDiarrhoea
