ID,Variable 1,Dependency,Variable 2
1,BF_BottleFeeding,->,BF_GoodBreastfeeding
2,BF_BottleFeeding,->,CHI_Weight4Height
3,BF_BreastfedMonths,->,BF_GoodBreastfeeding
4,BF_BreastfedMonths,->,IMM_Diptheria
5,BF_EarlyBreastfeeding,->,BF_GoodBreastfeeding
6,BF_GoodBreastfeeding,->,DIA_HadDiarrhoea
7,CHI_Age,->,BF_BreastfedMonths
8,CHI_Weight4Height,->,DIA_HadDiarrhoea
9,CUL_LanguageGroup,->,DEL_SmallBaby
10,CUL_LanguageGroup,->,HOU_CookingFuel
11,CUL_LanguageGroup,->,HOU_ModernWallMaterial
12,CUL_Religion,->,HOU_CookingFuel
13,CUL_Religion,->,IMM_Diptheria
14,DEL_SmallBaby,->,IMM_Diptheria
15,DEL_SmallBaby,->,IMM_VitaminA1
16,ECO_WealthQuintile,->,CHI_Weight4Height
17,ECO_WealthQuintile,->,DEL_SmallBaby
18,ECO_WealthQuintile,->,FP_BirthsLast5Yrs
19,ECO_WealthQuintile,->,HOU_CookingFuel
20,ECO_WealthQuintile,->,KNW_WatchTV
21,ECO_WealthQuintile,->,MTH_Education
22,ECO_WealthQuintile,->,WSH_ImprovedToilet
23,ECO_WealthQuintile,->,WSH_WashWithAgent
24,FP_BirthsLast5Yrs,->,BF_BreastfedMonths
25,FP_BirthsLast5Yrs,->,IMM_VitaminA1
26,FP_ModernMethod,->,DEL_SmallBaby
27,FP_ModernMethod,->,FP_BirthsLast5Yrs
28,GEO_Region,->,CUL_LanguageGroup
29,HOU_CookingFuel,->,BF_BreastfedMonths
30,HOU_CookingFuel,->,BF_EarlyBreastfeeding
31,HOU_CookingFuel,->,FP_ModernMethod
32,HOU_CookingFuel,->,IMM_Measles
33,HOU_CookingFuel,->,IMM_VitaminA1
34,HOU_CookingFuel,->,WSH_ImprovedWaterSource
35,HOU_CookingFuel,->,WSH_SafeStoolDisposal
36,HOU_CookingFuel,->,WSH_WaterTreated
37,HOU_CookingFuel,->,HOU_ModernWallMaterial
38,HOU_ModernWallMaterial,->,WSH_WashWithAgent
39,HOU_ModernWallMaterial,->,WSH_WaterTreated
40,IMM_Diptheria,->,IMM_Measles
41,IMM_Measles,->,CHI_Weight4Height
42,IMM_Measles,->,IMM_WellProtected
43,IMM_VitaminA1,->,IMM_WellProtected
44,MTH_Education,->,BF_BottleFeeding
45,MTH_Education,->,WSH_WaterTreated
46,MTH_MaternalAge,->,BF_BreastfedMonths
47,MTH_MaternalAge,->,CUL_Religion
48,MTH_MaternalAge,->,ECO_WealthQuintile
49,MTH_MaternalAge,->,FP_ModernMethod
50,MTH_MaternalAge,->,SRV_Accessible
51,SRV_Near,->,CHI_Age
52,SRV_Near,->,SRV_Accessible
53,SRV_OKAlone,->,CUL_Religion
54,SRV_OKAlone,->,ECO_WealthQuintile
55,SRV_OKAlone,->,FP_ModernMethod
56,SRV_OKAlone,->,WSH_SafeStoolDisposal
57,SRV_OKAlone,->,SRV_Accessible
58,SRV_OKAlone,->,MTH_MaternalAge
59,WSH_ImprovedToilet,->,IMM_Measles
60,WSH_ImprovedToilet,->,WSH_GoodWASH
61,WSH_ImprovedWaterSource,->,WSH_GoodWASH
62,WSH_SafeStoolDisposal,->,WSH_WashWithAgent
63,WSH_WashWithAgent,->,DIA_HadDiarrhoea
64,WSH_WashWithAgent,->,IMM_VitaminA1
65,IMM_WellProtected,->,DIA_HadDiarrhoea
66,WSH_GoodWASH,->,DIA_HadDiarrhoea
