ID,Variable 1,Dependency,Variable 2
1,BF_BottleFeeding,->,BF_BreastfedMonths
2,BF_BottleFeeding,->,BF_EarlyBreastfeeding
3,BF_BottleFeeding,->,BF_GoodBreastfeeding
4,BF_BreastfedMonths,->,BF_EarlyBreastfeeding
5,BF_BreastfedMonths,->,BF_GoodBreastfeeding
6,BF_BreastfedMonths,->,DIA_HadDiarrhoea
7,BF_BreastfedMonths,->,IMM_Diptheria
8,BF_EarlyBreastfeeding,->,BF_GoodBreastfeeding
9,BF_GoodBreastfeeding,->,DIA_HadDiarrhoea
10,CHI_Age,->,BF_BottleFeeding
11,CHI_Age,->,BF_BreastfedMonths
12,CHI_Age,->,BF_EarlyBreastfeeding
13,CHI_Age,->,CHI_Weight4Height
14,CHI_Age,->,IMM_Diptheria
15,CHI_Age,->,IMM_Measles
16,CHI_Age,->,IMM_VitaminA1
17,CHI_Age,->,WSH_SafeStoolDisposal
18,CHI_Weight4Height,->,DIA_HadDiarrhoea
19,CUL_LanguageGroup,->,BF_BottleFeeding
20,CUL_LanguageGroup,->,BF_EarlyBreastfeeding
21,CUL_LanguageGroup,->,CUL_Religion
22,CUL_LanguageGroup,->,ECO_WealthQuintile
23,CUL_LanguageGroup,->,FP_BirthsLast5Yrs
24,CUL_LanguageGroup,->,FP_ModernMethod
25,CUL_LanguageGroup,->,HOU_CookingFuel
26,CUL_LanguageGroup,->,HOU_ModernWallMaterial
27,CUL_LanguageGroup,->,KNW_WatchTV
28,CUL_LanguageGroup,->,MTH_Education
29,CUL_LanguageGroup,->,WSH_ImprovedWaterSource
30,CUL_LanguageGroup,->,WSH_WashWithAgent
31,CUL_LanguageGroup,->,WSH_WaterTreated
32,CUL_Religion,->,ECO_WealthQuintile
33,CUL_Religion,->,FP_BirthsLast5Yrs
34,CUL_Religion,->,FP_ModernMethod
35,CUL_Religion,->,HOU_CookingFuel
36,CUL_Religion,->,HOU_ModernWallMaterial
37,CUL_Religion,->,IMM_Measles
38,CUL_Religion,->,KNW_WatchTV
39,CUL_Religion,->,MTH_Education
40,CUL_Religion,->,SRV_Near
41,CUL_Religion,->,SRV_OKAlone
42,CUL_Religion,->,WSH_ImprovedToilet
43,CUL_Religion,->,WSH_ImprovedWaterSource
44,CUL_Religion,->,WSH_WaterTreated
