"ID","Variable 1","Dependency","Variable 2"
1,"F97","->","F2"
2,"F97","->","F78"
3,"F97","->","F3"
4,"F97","->","F18"
5,"F97","->","F29"
6,"F97","->","F42"
7,"F97","->","F64"
8,"F97","->","F105"
9,"F97","->","F104"
10,"F97","->","F106"
11,"F2","->","F92"
12,"F78","->","F102"
13,"F4","->","F97"
14,"F4","->","F5"
15,"F4","->","F46"
16,"F5","->","F97"
17,"F5","->","F2"
18,"F5","->","F78"
19,"F5","->","F3"
20,"F5","->","F98"
21,"F5","->","F100"
22,"F5","->","F104"
23,"F53","->","F6"
24,"F56","->","F32"
25,"F55","->","F52"
26,"F52","->","F11"
27,"F52","->","F16"
28,"F52","->","F58"
29,"F11","->","F73"
30,"F17","->","F18"
31,"F19","->","F17"
32,"F19","->","F25"
33,"F41","->","F96"
34,"F41","->","F38"
35,"F41","->","F39"
36,"F41","->","F45"
37,"F41","->","F107"
38,"F21","->","F22"
39,"F22","->","F55"
40,"F22","->","F90"
41,"F22","->","F35"
42,"F25","->","F36"
43,"F26","->","F79"
44,"F26","->","F80"
45,"F27","->","F10"
46,"F92","->","F29"
47,"F92","->","F67"
48,"F98","->","F30"
49,"F98","->","F74"
50,"F98","->","F99"
51,"F98","->","F105"
52,"F96","->","F4"
53,"F96","->","F39"
54,"F96","->","F40"
55,"F96","->","F83"
56,"F96","->","F94"
57,"F39","->","F38"
58,"F46","->","F26"
59,"F46","->","F80"
60,"F47","->","F44"
61,"F48","->","F49"
62,"F48","->","F50"
63,"F48","->","F82"
64,"F48","->","F107"
65,"F50","->","F47"
66,"F83","->","F93"
67,"F57","->","F66"
68,"F60","->","F89"
69,"F61","->","F62"
70,"F82","->","F41"
71,"F82","->","F93"
72,"F88","->","F31"
73,"F91","->","F53"
74,"F91","->","F56"
75,"F91","->","F19"
76,"F91","->","F26"
77,"F91","->","F51"
78,"F91","->","F61"
79,"F91","->","F81"
80,"F93","->","Fault"
81,"F93","->","F4"
82,"F93","->","F9"
83,"F93","->","F46"
84,"F93","->","F60"
85,"F93","->","F81"
86,"F93","->","F91"
87,"F99","->","F91"
88,"F99","->","F103"
89,"F99","->","F106"
90,"F105","->","F21"
91,"F105","->","F42"
92,"F105","->","F102"
93,"F102","->","F101"
94,"F107","->","F96"
95,"F107","->","F60"
