"ID","Variable 1","Dependency","Variable 2"
1,"F1","->","F12"
2,"F1","->","F44"
3,"F1","->","F88"
4,"F97","->","F1"
5,"F97","->","F8"
6,"F2","->","F98"
7,"F2","->","F100"
8,"F78","->","F97"
9,"F4","->","F30"
10,"F5","->","F2"
11,"F12","->","F66"
12,"F17","->","F18"
13,"F17","->","F19"
14,"F17","->","F36"
15,"F19","->","F25"
16,"F41","->","F23"
17,"F41","->","F40"
18,"F41","->","F83"
19,"F41","->","F71"
20,"F44","->","F14"
21,"F44","->","F47"
22,"F44","->","F48"
23,"F44","->","F49"
24,"F44","->","F50"
25,"F44","->","F51"
26,"F44","->","F82"
27,"F44","->","F89"
28,"F21","->","F22"
29,"F24","->","F45"
30,"F28","->","F64"
31,"F92","->","F29"
32,"F92","->","F74"
33,"F29","->","F28"
34,"F98","->","F99"
35,"F98","->","F105"
36,"F34","->","F67"
37,"F34","->","F68"
38,"F96","->","F41"
39,"F96","->","F38"
40,"F96","->","F39"
41,"F96","->","F94"
42,"F96","->","F107"
43,"F46","->","F93"
44,"F61","->","F62"
45,"F65","->","F95"
46,"F67","->","F92"
47,"F67","->","F77"
48,"F73","->","F52"
49,"F77","->","F14"
50,"F77","->","F92"
51,"F79","->","F80"
52,"F79","->","F108"
53,"F91","->","F17"
54,"F91","->","F90"
55,"F91","->","F96"
56,"F93","->","F21"
57,"F93","->","F83"
58,"F93","->","F65"
59,"F93","->","F81"
60,"F99","->","F106"
61,"F100","->","F78"
62,"F100","->","F3"
63,"F100","->","F4"
64,"F105","->","F102"
65,"F102","->","F101"
66,"F106","->","F42"
67,"F106","->","F91"
68,"F106","->","F103"
69,"F106","->","F104"
70,"F107","->","F44"
71,"F107","->","F46"
72,"F107","->","F60"
73,"F107","->","F77"
74,"F108","->","F5"
75,"F108","->","F26"
76,"F108","->","F31"
