ID,Variable 1,Dependency,Variable 2
1,F97,->,F2
2,F97,->,F46
3,F2,->,F78
4,F2,->,F5
5,F78,->,F3
6,F78,->,F30
7,F78,->,F42
8,F78,->,F99
9,F78,->,F100
10,F78,->,F105
11,F3,->,F4
12,F10,->,F31
13,F52,->,F11
14,F52,->,F73
15,F12,->,F54
16,F16,->,F34
17,F19,->,F25
18,F44,->,F1
19,F44,->,F15
20,F44,->,F48
21,F44,->,F49
22,F44,->,F89
23,F21,->,F90
24,F21,->,F22
25,F22,->,F52
26,F24,->,F85
27,F25,->,F36
28,F92,->,F29
29,F92,->,F77
30,F29,->,F97
31,F29,->,F108
32,F37,->,F87
33,F96,->,F39
34,F96,->,F80
35,F96,->,F94
36,F38,->,F40
37,F38,->,F83
38,F38,->,F107
39,F39,->,F38
40,F45,->,F72
41,F85,->,F26
42,F48,->,F47
43,F48,->,F50
44,F48,->,F82
45,F61,->,F62
46,F77,->,F23
47,F77,->,F67
48,F77,->,F88
49,F91,->,F10
50,F91,->,F19
51,F91,->,F21
52,F91,->,F96
53,F91,->,F57
54,F99,->,F91
55,F99,->,F106
56,F105,->,F102
57,F105,->,F103
58,F105,->,F104
59,F102,->,F18
60,F102,->,F101
61,F107,->,F44
62,F108,->,F27
63,F108,->,F69
