ID,Variable 1,Dependency,Variable 2
1,Fault,->,F53
2,Fault,->,F56
3,Fault,->,F8
4,Fault,->,F10
5,Fault,->,F52
6,Fault,->,F19
7,Fault,->,F90
8,Fault,->,F25
9,Fault,->,F26
10,Fault,->,F92
11,Fault,->,F96
12,Fault,->,F46
13,Fault,->,F48
14,Fault,->,F51
15,Fault,->,F83
16,Fault,->,F58
17,Fault,->,F60
18,Fault,->,F61
19,Fault,->,F74
20,Fault,->,F79
21,Fault,->,F80
22,Fault,->,F81
23,Fault,->,F91
24,Fault,->,F99
25,Fault,->,F107
26,F97,->,F78
27,F97,->,F3
28,F97,->,F9
29,F97,->,F30
30,F97,->,F76
31,F97,->,F105
32,F97,->,F103
33,F97,->,F104
34,F2,->,F29
35,F2,->,F105
36,F2,->,F104
37,F4,->,F78
38,F4,->,F3
39,F4,->,F5
40,F4,->,F29
41,F4,->,F100
42,F4,->,F103
43,F5,->,F97
44,F5,->,F100
45,F53,->,F6
46,F7,->,F24
47,F56,->,F1
48,F56,->,F32
49,F8,->,F32
50,F52,->,F55
51,F52,->,F11
52,F52,->,F23
53,F52,->,F35
54,F52,->,F50
55,F52,->,F73
56,F11,->,F16
57,F11,->,F33
58,F11,->,F34
59,F11,->,F63
60,F11,->,F73
61,F19,->,F36
62,F44,->,F54
63,F20,->,F31
64,F20,->,F84
65,F20,->,F86
66,F20,->,F70
67,F90,->,F21
68,F22,->,Fault
69,F22,->,F11
70,F22,->,F21
71,F22,->,F35
72,F25,->,F7
73,F25,->,F18
74,F25,->,F36
75,F26,->,F20
76,F26,->,F31
77,F26,->,F84
78,F26,->,F85
79,F26,->,F49
80,F26,->,F70
81,F26,->,F71
82,F26,->,F88
83,F92,->,F29
84,F92,->,F67
85,F29,->,F77
86,F31,->,F87
87,F31,->,F88
88,F31,->,F89
89,F32,->,F57
90,F36,->,F1
91,F84,->,F86
92,F96,->,F39
93,F96,->,F40
94,F96,->,F94
95,F39,->,F38
96,F39,->,F40
97,F39,->,F94
98,F40,->,F38
99,F42,->,F4
100,F42,->,F5
101,F46,->,F67
102,F47,->,F49
103,F47,->,F82
104,F48,->,F44
105,F48,->,F47
106,F48,->,F50
107,F48,->,F82
108,F50,->,F44
109,F50,->,F47
110,F50,->,F64
111,F51,->,F54
112,F83,->,F39
113,F61,->,F62
114,F67,->,F77
115,F86,->,F85
116,F74,->,F30
117,F76,->,F20
118,F81,->,F42
119,F82,->,F9
120,F88,->,F89
121,F89,->,F87
122,F91,->,F7
123,F91,->,F9
124,F91,->,F16
125,F91,->,F50
126,F91,->,F57
127,F91,->,F64
128,F91,->,F76
129,F99,->,F2
130,F99,->,F4
131,F99,->,F18
132,F99,->,F30
133,F99,->,F42
134,F99,->,F71
135,F99,->,F105
136,F99,->,F101
137,F99,->,F103
138,F99,->,F104
139,F99,->,F106
140,F100,->,F97
141,F100,->,F2
142,F100,->,F78
143,F100,->,F3
144,F105,->,F101
145,F105,->,F102
146,F101,->,F102
147,F103,->,F106
148,F107,->,F37
149,F107,->,F45
