"ID","Variable 1","Dependency","Variable 2"
1,"F78","->","F4"
2,"F78","->","F103"
3,"F3","->","F92"
4,"F3","->","F105"
5,"F4","->","F97"
6,"F4","->","F2"
7,"F4","->","F3"
8,"F4","->","F5"
9,"F4","->","F98"
10,"F4","->","F30"
11,"F4","->","F42"
12,"F4","->","F64"
13,"F4","->","F99"
14,"F4","->","F100"
15,"F4","->","F104"
16,"F10","->","F23"
17,"F52","->","F11"
18,"F16","->","F87"
19,"F17","->","F19"
20,"F19","->","F36"
21,"F41","->","F38"
22,"F41","->","F40"
23,"F41","->","F51"
24,"F41","->","F83"
25,"F41","->","F88"
26,"F41","->","F107"
27,"F44","->","F1"
28,"F44","->","F47"
29,"F44","->","F48"
30,"F44","->","F49"
31,"F44","->","F50"
32,"F44","->","F82"
33,"F21","->","F22"
34,"F26","->","F80"
35,"F27","->","F67"
36,"F92","->","F29"
37,"F36","->","F25"
38,"F96","->","F39"
39,"F96","->","F94"
40,"F39","->","F41"
41,"F83","->","F93"
42,"F61","->","F62"
43,"F67","->","F77"
44,"F89","->","F108"
45,"F91","->","F17"
46,"F91","->","F21"
47,"F91","->","F26"
48,"F91","->","F28"
49,"F91","->","F96"
50,"F91","->","F71"
51,"F91","->","F89"
52,"F93","->","F9"
53,"F93","->","F10"
54,"F93","->","F46"
55,"F93","->","F81"
56,"F99","->","F106"
57,"F105","->","F102"
58,"F102","->","F18"
59,"F102","->","F101"
60,"F106","->","F91"
61,"F107","->","F44"
