"ID","Variable 1","Dependency","Variable 2"
1,"Fault","->","F91"
2,"Fault","->","F93"
3,"F97","->","Fault"
4,"F97","->","F4"
5,"F97","->","F18"
6,"F97","->","F46"
7,"F97","->","F51"
8,"F97","->","F71"
9,"F97","->","F105"
10,"F97","->","F102"
11,"F97","->","F103"
12,"F97","->","F106"
13,"F2","->","F78"
14,"F78","->","F97"
15,"F78","->","F3"
16,"F78","->","F4"
17,"F78","->","F5"
18,"F78","->","F100"
19,"F78","->","F104"
20,"F3","->","F97"
21,"F4","->","F92"
22,"F53","->","F6"
23,"F53","->","F61"
24,"F56","->","F32"
25,"F55","->","F52"
26,"F52","->","F11"
27,"F52","->","F16"
28,"F52","->","F22"
29,"F52","->","F58"
30,"F52","->","F73"
31,"F17","->","F18"
32,"F19","->","F56"
33,"F19","->","F17"
34,"F19","->","F25"
35,"F41","->","F92"
36,"F41","->","F38"
37,"F20","->","F86"
38,"F22","->","F90"
39,"F22","->","F21"
40,"F22","->","F35"
41,"F22","->","F63"
42,"F23","->","F10"
43,"F23","->","F27"
44,"F24","->","F12"
45,"F25","->","F36"
46,"F26","->","F19"
47,"F26","->","F20"
48,"F26","->","F85"
49,"F26","->","F70"
50,"F26","->","F79"
51,"F26","->","F80"
52,"F27","->","F67"
53,"F92","->","F29"
54,"F92","->","F31"
55,"F92","->","F51"
56,"F92","->","F87"
57,"F29","->","F77"
58,"F98","->","F30"
59,"F98","->","F74"
60,"F98","->","F99"
61,"F31","->","F69"
62,"F31","->","F89"
63,"F96","->","F55"
64,"F96","->","F39"
65,"F96","->","F40"
66,"F96","->","F94"
67,"F39","->","F38"
68,"F39","->","F83"
69,"F39","->","F107"
70,"F42","->","F2"
71,"F47","->","F48"
72,"F48","->","F50"
73,"F48","->","F82"
74,"F50","->","F44"
75,"F50","->","F26"
76,"F50","->","F49"
77,"F50","->","F64"
78,"F61","->","F62"
79,"F64","->","F45"
80,"F67","->","F77"
81,"F86","->","F84"
82,"F75","->","F1"
83,"F80","->","F79"
84,"F87","->","F65"
85,"F91","->","F53"
86,"F91","->","F8"
87,"F91","->","F10"
88,"F91","->","F19"
89,"F91","->","F96"
90,"F91","->","F71"
91,"F91","->","F80"
92,"F91","->","F81"
93,"F91","->","F104"
94,"F93","->","F9"
95,"F93","->","F17"
96,"F93","->","F46"
97,"F93","->","F83"
98,"F93","->","F60"
99,"F93","->","F81"
100,"F93","->","F107"
101,"F94","->","F41"
102,"F99","->","F42"
103,"F99","->","F105"
104,"F99","->","F103"
105,"F99","->","F106"
106,"F105","->","F96"
107,"F105","->","F102"
108,"F102","->","F101"
109,"F107","->","F47"
110,"F107","->","F60"
