ID,Variable 1,Dependency,Variable 2
1,Fault,->,F56
2,Fault,->,F8
3,Fault,->,F9
4,Fault,->,F10
5,Fault,->,F52
6,Fault,->,F16
7,Fault,->,F17
8,Fault,->,F19
9,Fault,->,F90
10,Fault,->,F21
11,Fault,->,F25
12,Fault,->,F26
13,Fault,->,F92
14,Fault,->,F98
15,Fault,->,F32
16,Fault,->,F45
17,Fault,->,F46
18,Fault,->,F48
19,Fault,->,F51
20,Fault,->,F83
21,Fault,->,F60
22,Fault,->,F64
23,Fault,->,F67
24,Fault,->,F74
25,Fault,->,F79
26,Fault,->,F81
27,Fault,->,F91
28,Fault,->,F107
29,F97,->,F18
30,F97,->,F31
31,F97,->,F96
32,F97,->,F57
33,F97,->,F66
34,F2,->,F4
35,F2,->,F5
36,F78,->,F97
37,F4,->,F78
38,F4,->,F3
39,F53,->,Fault
40,F53,->,F6
41,F53,->,F62
42,F7,->,F59
43,F56,->,F1
44,F8,->,F13
45,F10,->,F69
46,F52,->,F11
47,F52,->,F22
48,F52,->,F35
49,F52,->,F50
50,F52,->,F80
51,F11,->,F55
52,F11,->,F33
53,F11,->,F63
54,F11,->,F73
55,F12,->,F27
56,F14,->,F6
57,F16,->,F14
58,F17,->,F18
59,F17,->,F68
60,F18,->,F75
61,F20,->,F31
62,F20,->,F84
63,F20,->,F85
64,F20,->,F86
65,F21,->,F22
66,F22,->,F23
67,F22,->,F35
68,F22,->,F43
69,F22,->,F63
70,F25,->,F1
71,F25,->,F7
72,F25,->,F14
73,F26,->,F20
74,F26,->,F39
75,F26,->,F47
76,F26,->,F49
77,F26,->,F50
78,F26,->,F71
79,F26,->,F80
80,F26,->,F82
81,F92,->,F2
82,F92,->,F78
83,F92,->,F3
84,F92,->,F4
85,F92,->,F29
86,F92,->,F105
87,F98,->,F2
88,F98,->,F30
89,F98,->,F100
90,F98,->,F105
91,F98,->,F106
92,F31,->,F87
93,F31,->,F89
94,F32,->,F57
95,F33,->,F34
96,F34,->,F65
97,F37,->,F15
98,F96,->,F20
99,F96,->,F38
100,F96,->,F39
101,F96,->,F40
102,F96,->,F94
103,F47,->,F49
104,F48,->,F50
105,F48,->,F82
106,F50,->,F47
107,F51,->,F54
108,F83,->,F96
109,F83,->,F54
110,F63,->,F23
111,F64,->,F94
112,F66,->,F95
113,F67,->,F77
114,F86,->,F70
115,F70,->,F72
116,F74,->,F30
117,F80,->,F28
118,F81,->,F42
119,F81,->,F66
120,F89,->,F87
121,F89,->,F88
122,F91,->,F4
123,F91,->,F30
124,F91,->,F34
125,F91,->,F96
126,F91,->,F66
127,F91,->,F71
128,F91,->,F82
129,F91,->,F89
130,F91,->,F105
131,F91,->,F103
132,F91,->,F106
133,F105,->,F102
134,F106,->,F42
135,F106,->,F71
136,F106,->,F103
137,F107,->,F2
138,F107,->,F37
139,F107,->,F43
