ID,Variable 1,Dependency,Variable 2
1,F97,->,F2
2,F97,->,F78
3,F97,->,F3
4,F97,->,F4
5,F97,->,F22
6,F97,->,F92
7,F97,->,F30
8,F97,->,F42
9,F97,->,F46
10,F97,->,F100
11,F97,->,F105
12,F97,->,F104
13,F2,->,F5
14,F52,->,F58
15,F52,->,F73
16,F18,->,F51
17,F19,->,F25
18,F44,->,F47
19,F44,->,F48
20,F44,->,F49
21,F44,->,F50
22,F44,->,F82
23,F20,->,F85
24,F20,->,F86
25,F21,->,F90
26,F22,->,F52
27,F22,->,F21
28,F22,->,F35
29,F22,->,F60
30,F25,->,F1
31,F25,->,F36
32,F26,->,F79
33,F26,->,F80
34,F92,->,F29
35,F92,->,F31
36,F92,->,F67
37,F29,->,F108
38,F31,->,F87
39,F84,->,F20
40,F96,->,F38
41,F96,->,F39
42,F96,->,F40
43,F96,->,F94
44,F96,->,F107
45,F39,->,F83
46,F85,->,F26
47,F85,->,F43
48,F48,->,F64
49,F51,->,F54
50,F58,->,F6
51,F61,->,F62
52,F67,->,F61
53,F67,->,F77
54,F73,->,F55
55,F73,->,F11
56,F73,->,F23
57,F80,->,F97
58,F80,->,F33
59,F91,->,F19
60,F91,->,F96
61,F91,->,F67
62,F91,->,F71
63,F91,->,F81
64,F99,->,F106
65,F105,->,F99
66,F105,->,F102
67,F102,->,F18
68,F102,->,F101
69,F106,->,F91
70,F106,->,F103
71,F107,->,F10
72,F107,->,F44
