"ID","Variable 1","Dependency","Variable 2"
1,"F97","->","F78"
2,"F97","->","F3"
3,"F97","->","F5"
4,"F97","->","F30"
5,"F97","->","F46"
6,"F97","->","F105"
7,"F97","->","F103"
8,"F97","->","F104"
9,"F2","->","F4"
10,"F4","->","F97"
11,"F4","->","F42"
12,"F4","->","F100"
13,"F52","->","F73"
14,"F14","->","F57"
15,"F17","->","F18"
16,"F17","->","F19"
17,"F41","->","F96"
18,"F41","->","F38"
19,"F41","->","F40"
20,"F41","->","F83"
21,"F41","->","F88"
22,"F41","->","F107"
23,"F44","->","F47"
24,"F44","->","F48"
25,"F44","->","F49"
26,"F44","->","F50"
27,"F44","->","F82"
28,"F20","->","F84"
29,"F21","->","F22"
30,"F25","->","F36"
31,"F92","->","F29"
32,"F92","->","F77"
33,"F84","->","F86"
34,"F96","->","F39"
35,"F96","->","F94"
36,"F46","->","F93"
37,"F61","->","F62"
38,"F77","->","F67"
39,"F91","->","F17"
40,"F105","->","F98"
41,"F105","->","F102"
42,"F102","->","F59"
43,"F102","->","F101"
44,"F103","->","F106"
45,"F106","->","F41"
46,"F106","->","F99"
47,"F107","->","F44"
48,"F107","->","F91"
