"ID","Variable 1","Dependency","Variable 2"
1,"Fault","->","F1"
2,"Fault","->","F2"
3,"Fault","->","F53"
4,"Fault","->","F7"
5,"Fault","->","F56"
6,"Fault","->","F8"
7,"Fault","->","F9"
8,"Fault","->","F10"
9,"Fault","->","F52"
10,"Fault","->","F11"
11,"Fault","->","F16"
12,"Fault","->","F17"
13,"Fault","->","F18"
14,"Fault","->","F19"
15,"Fault","->","F20"
16,"Fault","->","F90"
17,"Fault","->","F21"
18,"Fault","->","F23"
19,"Fault","->","F24"
20,"Fault","->","F25"
21,"Fault","->","F26"
22,"Fault","->","F92"
23,"Fault","->","F30"
24,"Fault","->","F32"
25,"Fault","->","F34"
26,"Fault","->","F35"
27,"Fault","->","F36"
28,"Fault","->","F37"
29,"Fault","->","F96"
30,"Fault","->","F42"
31,"Fault","->","F43"
32,"Fault","->","F45"
33,"Fault","->","F46"
34,"Fault","->","F51"
35,"Fault","->","F83"
36,"Fault","->","F54"
37,"Fault","->","F57"
38,"Fault","->","F58"
39,"Fault","->","F60"
40,"Fault","->","F61"
41,"Fault","->","F63"
42,"Fault","->","F64"
43,"Fault","->","F66"
44,"Fault","->","F67"
45,"Fault","->","F71"
46,"Fault","->","F73"
47,"Fault","->","F74"
48,"Fault","->","F76"
49,"Fault","->","F79"
50,"Fault","->","F80"
51,"Fault","->","F81"
52,"Fault","->","F91"
53,"Fault","->","F93"
54,"Fault","->","F99"
55,"Fault","->","F107"
56,"F97","->","F78"
57,"F97","->","F3"
58,"F97","->","F5"
59,"F97","->","F42"
60,"F97","->","F100"
61,"F2","->","F78"
62,"F2","->","F5"
63,"F2","->","F105"
64,"F2","->","F101"
65,"F2","->","F104"
66,"F78","->","F3"
67,"F4","->","F78"
68,"F4","->","F3"
69,"F53","->","F6"
70,"F6","->","F14"
71,"F7","->","F59"
72,"F8","->","F13"
73,"F10","->","F69"
74,"F52","->","F55"
75,"F11","->","F55"
76,"F11","->","F33"
77,"F12","->","F27"
78,"F16","->","F14"
79,"F16","->","F15"
80,"F17","->","F18"
81,"F17","->","F68"
82,"F18","->","F75"
83,"F41","->","F83"
84,"F41","->","F87"
85,"F44","->","F49"
86,"F44","->","F107"
87,"F20","->","F31"
88,"F20","->","F84"
89,"F20","->","F85"
90,"F20","->","F86"
91,"F21","->","F22"
92,"F22","->","F75"
93,"F25","->","F6"
94,"F26","->","F28"
95,"F26","->","F84"
96,"F26","->","F39"
97,"F26","->","F49"
98,"F26","->","F70"
99,"F92","->","F29"
100,"F92","->","F105"
101,"F29","->","F4"
102,"F29","->","F77"
103,"F98","->","F30"
104,"F98","->","F100"
105,"F30","->","F74"
106,"F31","->","F87"
107,"F31","->","F88"
108,"F31","->","F89"
109,"F34","->","F33"
110,"F34","->","F65"
111,"F35","->","F22"
112,"F37","->","F15"
113,"F84","->","F86"
114,"F96","->","F41"
115,"F96","->","F38"
116,"F96","->","F39"
117,"F96","->","F40"
118,"F96","->","F94"
119,"F39","->","F38"
120,"F39","->","F94"
121,"F42","->","F98"
122,"F47","->","F49"
123,"F48","->","Fault"
124,"F48","->","F44"
125,"F48","->","F50"
126,"F48","->","F82"
127,"F50","->","Fault"
128,"F50","->","F47"
129,"F50","->","F82"
130,"F51","->","F29"
131,"F83","->","F39"
132,"F61","->","F62"
133,"F64","->","F94"
134,"F66","->","F95"
135,"F67","->","F77"
136,"F72","->","F95"
137,"F86","->","F70"
138,"F70","->","F72"
139,"F77","->","F12"
140,"F82","->","F44"
141,"F82","->","F47"
142,"F82","->","F85"
143,"F87","->","F89"
144,"F89","->","F88"
145,"F91","->","F65"
146,"F91","->","F103"
147,"F91","->","F104"
148,"F91","->","F106"
149,"F93","->","F31"
150,"F93","->","F82"
151,"F94","->","F40"
152,"F99","->","F2"
153,"F99","->","F4"
154,"F99","->","F98"
155,"F99","->","F105"
156,"F99","->","F101"
157,"F99","->","F103"
158,"F99","->","F104"
159,"F99","->","F106"
160,"F105","->","F97"
161,"F105","->","F4"
162,"F105","->","F101"
163,"F105","->","F102"
164,"F105","->","F103"
165,"F101","->","F102"
166,"F103","->","F97"
167,"F103","->","F106"
168,"F107","->","F41"
169,"F107","->","F96"
