ID,Variable 1,Dependency,Variable 2
1,F97,->,F4
2,F2,->,F92
3,F3,->,F100
4,F4,->,F78
5,F4,->,F5
6,F4,->,F30
7,F4,->,F46
8,F4,->,F99
9,F4,->,F104
10,F5,->,F2
11,F5,->,F3
12,F55,->,F52
13,F52,->,F11
14,F11,->,F73
15,F19,->,F25
16,F44,->,F48
17,F22,->,F55
18,F22,->,F90
19,F22,->,F21
20,F22,->,F35
21,F25,->,F36
22,F26,->,F79
23,F26,->,F80
24,F92,->,F29
25,F96,->,F39
26,F96,->,F40
27,F96,->,F83
28,F96,->,F94
29,F96,->,F107
30,F39,->,F22
31,F39,->,F38
32,F48,->,F26
33,F48,->,F49
34,F48,->,F50
35,F48,->,F64
36,F48,->,F82
37,F61,->,F62
38,F67,->,F77
39,F82,->,F47
40,F91,->,F8
41,F91,->,F19
42,F91,->,F96
43,F99,->,F18
44,F99,->,F42
45,F99,->,F81
46,F99,->,F91
47,F99,->,F105
48,F99,->,F106
49,F105,->,F102
50,F102,->,F101
51,F103,->,F74
52,F106,->,F103
53,F107,->,F44
54,F107,->,F60
