"ID","Variable 1","Dependency","Variable 2"
1,"F97","->","F3"
2,"F97","->","F4"
3,"F97","->","F5"
4,"F97","->","F98"
5,"F97","->","F30"
6,"F97","->","F42"
7,"F97","->","F99"
8,"F97","->","F100"
9,"F97","->","F105"
10,"F97","->","F103"
11,"F97","->","F104"
12,"F2","->","F97"
13,"F19","->","F17"
14,"F41","->","F83"
15,"F41","->","F91"
16,"F41","->","F107"
17,"F44","->","F47"
18,"F44","->","F48"
19,"F44","->","F49"
20,"F44","->","F50"
21,"F44","->","F82"
22,"F21","->","F22"
23,"F96","->","F39"
24,"F96","->","F94"
25,"F39","->","F41"
26,"F39","->","F38"
27,"F46","->","F93"
28,"F61","->","F62"
29,"F73","->","F52"
30,"F91","->","F19"
31,"F105","->","F102"
32,"F102","->","F101"
33,"F104","->","F78"
34,"F104","->","F106"
35,"F107","->","F44"
