"ID","Variable 1","Dependency","Variable 2"
1,"Fault","->","F1"
2,"Fault","->","F2"
3,"Fault","->","F4"
4,"Fault","->","F53"
5,"Fault","->","F6"
6,"Fault","->","F7"
7,"Fault","->","F56"
8,"Fault","->","F8"
9,"Fault","->","F9"
10,"Fault","->","F10"
11,"Fault","->","F55"
12,"Fault","->","F52"
13,"Fault","->","F11"
14,"Fault","->","F13"
15,"Fault","->","F14"
16,"Fault","->","F15"
17,"Fault","->","F16"
18,"Fault","->","F17"
19,"Fault","->","F18"
20,"Fault","->","F19"
21,"Fault","->","F20"
22,"Fault","->","F90"
23,"Fault","->","F23"
24,"Fault","->","F24"
25,"Fault","->","F25"
26,"Fault","->","F26"
27,"Fault","->","F28"
28,"Fault","->","F92"
29,"Fault","->","F29"
30,"Fault","->","F98"
31,"Fault","->","F30"
32,"Fault","->","F31"
33,"Fault","->","F32"
34,"Fault","->","F33"
35,"Fault","->","F34"
36,"Fault","->","F35"
37,"Fault","->","F36"
38,"Fault","->","F37"
39,"Fault","->","F84"
40,"Fault","->","F96"
41,"Fault","->","F39"
42,"Fault","->","F42"
43,"Fault","->","F43"
44,"Fault","->","F45"
45,"Fault","->","F46"
46,"Fault","->","F85"
47,"Fault","->","F48"
48,"Fault","->","F49"
49,"Fault","->","F50"
50,"Fault","->","F51"
51,"Fault","->","F83"
52,"Fault","->","F54"
53,"Fault","->","F57"
54,"Fault","->","F58"
55,"Fault","->","F59"
56,"Fault","->","F60"
57,"Fault","->","F61"
58,"Fault","->","F63"
59,"Fault","->","F64"
60,"Fault","->","F66"
61,"Fault","->","F67"
62,"Fault","->","F68"
63,"Fault","->","F70"
64,"Fault","->","F71"
65,"Fault","->","F73"
66,"Fault","->","F74"
67,"Fault","->","F75"
68,"Fault","->","F76"
69,"Fault","->","F77"
70,"Fault","->","F79"
71,"Fault","->","F80"
72,"Fault","->","F81"
73,"Fault","->","F82"
74,"Fault","->","F89"
75,"Fault","->","F91"
76,"Fault","->","F93"
77,"Fault","->","F95"
78,"Fault","->","F99"
79,"Fault","->","F105"
80,"Fault","->","F101"
81,"Fault","->","F104"
82,"Fault","->","F107"
83,"F97","->","F4"
84,"F97","->","F46"
85,"F97","->","F99"
86,"F97","->","F105"
87,"F2","->","F5"
88,"F4","->","F78"
89,"F4","->","F3"
90,"F4","->","F92"
91,"F5","->","F97"
92,"F53","->","F6"
93,"F53","->","F62"
94,"F10","->","F69"
95,"F52","->","F55"
96,"F52","->","F11"
97,"F52","->","F73"
98,"F11","->","F65"
99,"F17","->","F25"
100,"F18","->","F17"
101,"F41","->","F83"
102,"F20","->","F86"
103,"F21","->","Fault"
104,"F21","->","F22"
105,"F22","->","Fault"
106,"F22","->","F52"
107,"F22","->","F90"
108,"F22","->","F35"
109,"F26","->","F86"
110,"F26","->","F79"
111,"F26","->","F80"
112,"F92","->","F29"
113,"F98","->","F30"
114,"F98","->","F99"
115,"F98","->","F103"
116,"F30","->","F74"
117,"F31","->","F87"
118,"F31","->","F88"
119,"F31","->","F89"
120,"F32","->","F56"
121,"F34","->","F65"
122,"F84","->","F20"
123,"F84","->","F86"
124,"F96","->","F39"
125,"F96","->","F40"
126,"F96","->","F94"
127,"F38","->","F41"
128,"F38","->","F83"
129,"F39","->","F41"
130,"F39","->","F84"
131,"F39","->","F38"
132,"F39","->","F40"
133,"F39","->","F94"
134,"F40","->","F41"
135,"F40","->","F38"
136,"F40","->","F94"
137,"F42","->","F97"
138,"F42","->","F78"
139,"F42","->","F3"
140,"F42","->","F5"
141,"F42","->","F18"
142,"F42","->","F100"
143,"F42","->","F103"
144,"F42","->","F104"
145,"F42","->","F106"
146,"F46","->","F26"
147,"F47","->","F44"
148,"F47","->","F49"
149,"F47","->","F107"
150,"F48","->","F44"
151,"F48","->","F47"
152,"F48","->","F50"
153,"F48","->","F82"
154,"F48","->","F88"
155,"F50","->","F44"
156,"F50","->","F47"
157,"F83","->","F87"
158,"F83","->","F93"
159,"F61","->","F53"
160,"F61","->","F62"
161,"F86","->","F85"
162,"F82","->","F47"
163,"F89","->","F87"
164,"F89","->","F88"
165,"F91","->","F19"
166,"F91","->","F61"
167,"F91","->","F81"
168,"F93","->","F9"
169,"F93","->","F46"
170,"F93","->","F60"
171,"F93","->","F81"
172,"F94","->","F38"
173,"F99","->","F48"
174,"F99","->","F91"
175,"F99","->","F105"
176,"F99","->","F102"
177,"F99","->","F103"
178,"F99","->","F106"
179,"F100","->","F97"
180,"F100","->","F2"
181,"F100","->","F78"
182,"F100","->","F3"
183,"F100","->","F4"
184,"F100","->","F5"
185,"F100","->","F98"
186,"F105","->","F101"
187,"F105","->","F102"
188,"F101","->","F102"
189,"F103","->","F106"
190,"F104","->","F100"
191,"F107","->","F96"
192,"F107","->","F40"
