ID,Variable 1,Dependency,Variable 2
1,F97,->,F3
2,F97,->,F4
3,F97,->,F46
4,F97,->,F100
5,F97,->,F106
6,F2,->,F5
7,F78,->,F104
8,F4,->,F78
9,F4,->,F30
10,F4,->,F42
11,F4,->,F105
12,F4,->,F103
13,F5,->,F97
14,F52,->,F73
15,F12,->,F27
16,F14,->,F37
17,F15,->,F28
18,F44,->,F47
19,F44,->,F48
20,F44,->,F49
21,F44,->,F50
22,F44,->,F82
23,F20,->,F84
24,F20,->,F86
25,F21,->,F22
26,F25,->,F36
27,F92,->,F29
28,F92,->,F67
29,F34,->,F66
30,F37,->,F80
31,F96,->,F38
32,F96,->,F39
33,F96,->,F40
34,F96,->,F94
35,F39,->,F83
36,F39,->,F107
37,F59,->,F95
38,F61,->,F62
39,F66,->,F72
40,F67,->,F77
41,F91,->,F14
42,F91,->,F19
43,F105,->,F102
44,F102,->,F18
45,F102,->,F101
46,F106,->,F99
47,F107,->,F44
48,F107,->,F91
