ID,Variable 1,Dependency,Variable 2
1,Fault,->,F1
2,Fault,->,F2
3,Fault,->,F4
4,Fault,->,F53
5,Fault,->,F6
6,Fault,->,F7
7,Fault,->,F56
8,Fault,->,F8
9,Fault,->,F9
10,Fault,->,F10
11,Fault,->,F55
12,Fault,->,F52
13,Fault,->,F11
14,Fault,->,F12
15,Fault,->,F13
16,Fault,->,F14
17,Fault,->,F16
18,Fault,->,F18
19,Fault,->,F19
20,Fault,->,F20
21,Fault,->,F90
22,Fault,->,F23
23,Fault,->,F24
24,Fault,->,F25
25,Fault,->,F26
26,Fault,->,F28
27,Fault,->,F92
28,Fault,->,F29
29,Fault,->,F30
30,Fault,->,F31
31,Fault,->,F32
32,Fault,->,F33
33,Fault,->,F34
34,Fault,->,F35
35,Fault,->,F36
36,Fault,->,F37
37,Fault,->,F96
38,Fault,->,F39
39,Fault,->,F42
40,Fault,->,F43
41,Fault,->,F45
42,Fault,->,F46
43,Fault,->,F48
44,Fault,->,F49
45,Fault,->,F50
46,Fault,->,F51
47,Fault,->,F83
48,Fault,->,F54
49,Fault,->,F57
50,Fault,->,F58
51,Fault,->,F59
52,Fault,->,F60
53,Fault,->,F61
54,Fault,->,F63
55,Fault,->,F64
56,Fault,->,F65
57,Fault,->,F66
58,Fault,->,F67
59,Fault,->,F70
60,Fault,->,F71
61,Fault,->,F73
62,Fault,->,F74
63,Fault,->,F75
64,Fault,->,F76
65,Fault,->,F79
66,Fault,->,F80
67,Fault,->,F81
68,Fault,->,F82
69,Fault,->,F91
70,Fault,->,F94
71,Fault,->,F95
72,Fault,->,F99
73,Fault,->,F105
74,Fault,->,F101
75,Fault,->,F104
76,Fault,->,F107
77,F97,->,F18
78,F97,->,F30
79,F97,->,F42
80,F97,->,F46
81,F2,->,F97
82,F2,->,F78
83,F2,->,F5
84,F78,->,F97
85,F4,->,F97
86,F4,->,F78
87,F4,->,F3
88,F53,->,F6
89,F53,->,F61
90,F8,->,F53
91,F10,->,F69
92,F52,->,F55
93,F52,->,F11
94,F52,->,F73
95,F12,->,F27
96,F16,->,F15
97,F44,->,F107
98,F20,->,F84
99,F20,->,F85
100,F20,->,F86
101,F20,->,F89
102,F21,->,Fault
103,F21,->,F22
104,F22,->,Fault
105,F22,->,F52
106,F22,->,F90
107,F22,->,F35
108,F26,->,F40
109,F26,->,F79
110,F26,->,F80
111,F92,->,F78
112,F92,->,F3
113,F92,->,F29
114,F92,->,F77
115,F30,->,F3
116,F30,->,F74
117,F30,->,F100
118,F31,->,F87
119,F31,->,F88
120,F31,->,F89
121,F32,->,F56
122,F37,->,F15
123,F37,->,F38
124,F84,->,F86
125,F96,->,F84
126,F96,->,F38
127,F96,->,F39
128,F96,->,F40
129,F96,->,F87
130,F96,->,F91
131,F96,->,F94
132,F96,->,F107
133,F39,->,F20
134,F39,->,F84
135,F39,->,F38
136,F39,->,F83
137,F39,->,F62
138,F42,->,F103
139,F47,->,F44
140,F85,->,F86
141,F48,->,F44
142,F48,->,F50
143,F48,->,F82
144,F48,->,F88
145,F48,->,F89
146,F50,->,F47
147,F50,->,F49
148,F61,->,F62
149,F67,->,F27
150,F67,->,F77
151,F76,->,F5
152,F81,->,F47
153,F82,->,F47
154,F82,->,F85
155,F89,->,F87
156,F89,->,F88
157,F91,->,F19
158,F91,->,F26
159,F91,->,F77
160,F91,->,F81
161,F91,->,F99
162,F91,->,F100
163,F91,->,F103
164,F91,->,F106
165,F94,->,F40
166,F95,->,F72
167,F99,->,F2
168,F99,->,F4
169,F99,->,F100
170,F99,->,F105
171,F99,->,F103
172,F99,->,F104
173,F99,->,F106
174,F105,->,F101
175,F105,->,F102
176,F101,->,F102
177,F103,->,F106
178,F104,->,F5
