"ID","Variable 1","Dependency","Variable 2"
1,"F97","->","F78"
2,"F97","->","F5"
3,"F78","->","F2"
4,"F78","->","F3"
5,"F78","->","F4"
6,"F78","->","F100"
7,"F78","->","F105"
8,"F4","->","F98"
9,"F4","->","F30"
10,"F4","->","F42"
11,"F4","->","F99"
12,"F4","->","F103"
13,"F4","->","F104"
14,"F52","->","F73"
15,"F15","->","F27"
16,"F17","->","F18"
17,"F41","->","F38"
18,"F41","->","F40"
19,"F41","->","F83"
20,"F41","->","F107"
21,"F44","->","F47"
22,"F44","->","F48"
23,"F44","->","F49"
24,"F44","->","F50"
25,"F44","->","F82"
26,"F20","->","F86"
27,"F21","->","F22"
28,"F25","->","F36"
29,"F92","->","F29"
30,"F92","->","F67"
31,"F96","->","F39"
32,"F96","->","F94"
33,"F39","->","F41"
34,"F51","->","F54"
35,"F83","->","F93"
36,"F61","->","F62"
37,"F65","->","F87"
38,"F67","->","F77"
39,"F68","->","F12"
40,"F68","->","F59"
41,"F77","->","F68"
42,"F91","->","F17"
43,"F91","->","F19"
44,"F91","->","F96"
45,"F93","->","F81"
46,"F99","->","F91"
47,"F105","->","F102"
48,"F102","->","F101"
49,"F103","->","F106"
50,"F107","->","F44"
