"ID","Variable 1","Dependency","Variable 2"
1,"F97","->","F2"
2,"F97","->","F3"
3,"F97","->","F18"
4,"F97","->","F100"
5,"F2","->","F5"
6,"F3","->","F4"
7,"F4","->","F78"
8,"F4","->","F92"
9,"F4","->","F51"
10,"F53","->","F6"
11,"F53","->","F61"
12,"F56","->","F32"
13,"F10","->","F41"
14,"F55","->","F52"
15,"F52","->","F11"
16,"F52","->","F16"
17,"F52","->","F58"
18,"F52","->","F63"
19,"F52","->","F73"
20,"F11","->","F46"
21,"F17","->","F18"
22,"F17","->","F25"
23,"F19","->","F17"
24,"F41","->","F44"
25,"F41","->","F96"
26,"F41","->","F38"
27,"F41","->","F83"
28,"F41","->","F107"
29,"F44","->","F47"
30,"F44","->","F48"
31,"F44","->","F49"
32,"F20","->","F86"
33,"F21","->","F22"
34,"F22","->","F55"
35,"F22","->","F90"
36,"F22","->","F23"
37,"F22","->","F35"
38,"F25","->","F1"
39,"F25","->","F7"
40,"F25","->","F24"
41,"F25","->","F36"
42,"F26","->","F20"
43,"F26","->","F31"
44,"F26","->","F79"
45,"F26","->","F80"
46,"F92","->","F29"
47,"F92","->","F67"
48,"F98","->","F30"
49,"F98","->","F74"
50,"F98","->","F99"
51,"F31","->","F87"
52,"F31","->","F89"
53,"F33","->","F34"
54,"F96","->","F39"
55,"F96","->","F40"
56,"F96","->","F94"
57,"F48","->","F50"
58,"F48","->","F82"
59,"F50","->","F26"
60,"F50","->","F64"
61,"F51","->","F54"
62,"F83","->","F93"
63,"F61","->","F62"
64,"F67","->","F77"
65,"F86","->","F84"
66,"F86","->","F85"
67,"F86","->","F70"
68,"F82","->","F9"
69,"F89","->","F88"
70,"F91","->","Fault"
71,"F91","->","F53"
72,"F91","->","F8"
73,"F91","->","F19"
74,"F91","->","F96"
75,"F91","->","F81"
76,"F93","->","F98"
77,"F93","->","F81"
78,"F93","->","F91"
79,"F93","->","F107"
80,"F99","->","F42"
81,"F99","->","F91"
82,"F99","->","F105"
83,"F99","->","F103"
84,"F99","->","F104"
85,"F99","->","F106"
86,"F105","->","F21"
87,"F105","->","F102"
88,"F102","->","F101"
89,"F103","->","F97"
90,"F106","->","F71"
91,"F107","->","F44"
92,"F107","->","F45"
93,"F107","->","F60"
