"ID","Variable 1","Dependency","Variable 2"
1,"F97","->","F2"
2,"F97","->","F78"
3,"F97","->","F3"
4,"F97","->","F4"
5,"F97","->","F5"
6,"F97","->","F92"
7,"F97","->","F30"
8,"F97","->","F42"
9,"F97","->","F100"
10,"F97","->","F105"
11,"F11","->","F73"
12,"F17","->","F18"
13,"F17","->","F19"
14,"F18","->","F51"
15,"F19","->","F25"
16,"F19","->","F32"
17,"F41","->","F96"
18,"F41","->","F38"
19,"F41","->","F40"
20,"F41","->","F83"
21,"F41","->","F67"
22,"F41","->","F107"
23,"F44","->","F47"
24,"F44","->","F48"
25,"F44","->","F49"
26,"F44","->","F50"
27,"F44","->","F82"
28,"F20","->","F84"
29,"F20","->","F85"
30,"F20","->","F86"
31,"F90","->","F21"
32,"F21","->","F22"
33,"F22","->","F11"
34,"F22","->","F41"
35,"F22","->","F35"
36,"F23","->","F52"
37,"F25","->","F1"
38,"F25","->","F36"
39,"F26","->","F79"
40,"F26","->","F80"
41,"F92","->","F29"
42,"F92","->","F31"
43,"F92","->","F67"
44,"F29","->","F108"
45,"F31","->","F87"
46,"F32","->","F56"
47,"F96","->","F39"
48,"F96","->","F94"
49,"F85","->","F26"
50,"F85","->","F43"
51,"F48","->","F64"
52,"F51","->","F54"
53,"F83","->","F93"
54,"F58","->","F6"
55,"F61","->","F62"
56,"F67","->","F61"
57,"F67","->","F77"
58,"F73","->","F55"
59,"F73","->","F23"
60,"F80","->","F33"
61,"F91","->","F17"
62,"F91","->","F41"
63,"F91","->","F90"
64,"F91","->","F58"
65,"F91","->","F60"
66,"F91","->","F71"
67,"F91","->","F107"
68,"F93","->","F9"
69,"F93","->","F20"
70,"F93","->","F46"
71,"F93","->","F81"
72,"F99","->","F106"
73,"F105","->","F98"
74,"F105","->","F102"
75,"F102","->","F101"
76,"F104","->","F97"
77,"F106","->","F91"
78,"F106","->","F103"
79,"F106","->","F104"
80,"F107","->","F8"
81,"F107","->","F10"
82,"F107","->","F44"
