"ID","Variable 1","Dependency","Variable 2"
1,"Fault","->","F53"
2,"Fault","->","F56"
3,"Fault","->","F8"
4,"Fault","->","F9"
5,"Fault","->","F10"
6,"Fault","->","F52"
7,"Fault","->","F17"
8,"Fault","->","F19"
9,"Fault","->","F90"
10,"Fault","->","F21"
11,"Fault","->","F25"
12,"Fault","->","F26"
13,"Fault","->","F92"
14,"Fault","->","F32"
15,"Fault","->","F45"
16,"Fault","->","F46"
17,"Fault","->","F48"
18,"Fault","->","F51"
19,"Fault","->","F83"
20,"Fault","->","F54"
21,"Fault","->","F58"
22,"Fault","->","F60"
23,"Fault","->","F61"
24,"Fault","->","F64"
25,"Fault","->","F67"
26,"Fault","->","F74"
27,"Fault","->","F76"
28,"Fault","->","F79"
29,"Fault","->","F81"
30,"Fault","->","F91"
31,"Fault","->","F93"
32,"Fault","->","F107"
33,"F97","->","F18"
34,"F97","->","F24"
35,"F97","->","F57"
36,"F2","->","F5"
37,"F3","->","F97"
38,"F4","->","F78"
39,"F4","->","F3"
40,"F53","->","F6"
41,"F6","->","F14"
42,"F7","->","F24"
43,"F7","->","F59"
44,"F56","->","F1"
45,"F8","->","F13"
46,"F10","->","F69"
47,"F52","->","F11"
48,"F52","->","F16"
49,"F52","->","F22"
50,"F52","->","F35"
51,"F52","->","F39"
52,"F52","->","F50"
53,"F52","->","F80"
54,"F11","->","F55"
55,"F11","->","F33"
56,"F11","->","F63"
57,"F11","->","F73"
58,"F12","->","F27"
59,"F14","->","F16"
60,"F17","->","F18"
61,"F17","->","F36"
62,"F17","->","F68"
63,"F18","->","F75"
64,"F41","->","F7"
65,"F41","->","F43"
66,"F41","->","F82"
67,"F41","->","F87"
68,"F44","->","F85"
69,"F44","->","F88"
70,"F44","->","F89"
71,"F44","->","F107"
72,"F20","->","F31"
73,"F20","->","F84"
74,"F20","->","F85"
75,"F20","->","F86"
76,"F21","->","F22"
77,"F22","->","F23"
78,"F22","->","F35"
79,"F22","->","F43"
80,"F22","->","F63"
81,"F25","->","F7"
82,"F25","->","F36"
83,"F26","->","F20"
84,"F26","->","F39"
85,"F26","->","F49"
86,"F26","->","F71"
87,"F26","->","F80"
88,"F92","->","F78"
89,"F92","->","F3"
90,"F92","->","F4"
91,"F92","->","F29"
92,"F92","->","F105"
93,"F29","->","F104"
94,"F98","->","F4"
95,"F98","->","F30"
96,"F98","->","F100"
97,"F31","->","F87"
98,"F31","->","F89"
99,"F32","->","F57"
100,"F33","->","F34"
101,"F34","->","F65"
102,"F36","->","F1"
103,"F37","->","F15"
104,"F96","->","F41"
105,"F96","->","F38"
106,"F96","->","F40"
107,"F39","->","F94"
108,"F47","->","F49"
109,"F48","->","F44"
110,"F48","->","F50"
111,"F48","->","F82"
112,"F50","->","F47"
113,"F83","->","F39"
114,"F61","->","F62"
115,"F61","->","F66"
116,"F63","->","F23"
117,"F64","->","F94"
118,"F66","->","F95"
119,"F67","->","F77"
120,"F86","->","F70"
121,"F70","->","F72"
122,"F74","->","F98"
123,"F74","->","F30"
124,"F76","->","F20"
125,"F80","->","F28"
126,"F81","->","F42"
127,"F89","->","F88"
128,"F91","->","F16"
129,"F91","->","F30"
130,"F91","->","F34"
131,"F91","->","F96"
132,"F91","->","F40"
133,"F91","->","F50"
134,"F91","->","F66"
135,"F91","->","F101"
136,"F91","->","F103"
137,"F91","->","F106"
138,"F93","->","F11"
139,"F93","->","F31"
140,"F93","->","F47"
141,"F93","->","F82"
142,"F94","->","F96"
143,"F99","->","Fault"
144,"F99","->","F2"
145,"F99","->","F98"
146,"F99","->","F42"
147,"F99","->","F71"
148,"F99","->","F105"
149,"F99","->","F103"
150,"F99","->","F104"
151,"F99","->","F106"
152,"F105","->","F102"
153,"F101","->","F2"
154,"F102","->","F101"
155,"F107","->","F37"
