ID,Variable 1,Dependency,Variable 2
1,F1,->,F56
2,F97,->,F78
3,F97,->,F3
4,F97,->,F4
5,F97,->,F5
6,F97,->,F22
7,F97,->,F92
8,F97,->,F30
9,F97,->,F42
10,F97,->,F46
11,F97,->,F100
12,F97,->,F105
13,F97,->,F104
14,F5,->,F2
15,F56,->,F32
16,F52,->,F58
17,F52,->,F73
18,F18,->,F51
19,F19,->,F25
20,F44,->,F47
21,F44,->,F48
22,F44,->,F49
23,F44,->,F50
24,F44,->,F82
25,F20,->,F85
26,F20,->,F86
27,F21,->,F90
28,F22,->,F52
29,F22,->,F21
30,F22,->,F35
31,F22,->,F60
32,F25,->,F1
33,F25,->,F36
34,F26,->,F79
35,F26,->,F80
36,F92,->,F29
37,F92,->,F31
38,F92,->,F67
39,F29,->,F108
40,F31,->,F87
41,F84,->,F20
42,F96,->,F38
43,F96,->,F39
44,F96,->,F40
45,F96,->,F94
46,F96,->,F107
47,F39,->,F83
48,F85,->,F26
49,F85,->,F43
50,F48,->,F64
51,F51,->,F54
52,F58,->,F6
53,F61,->,F62
54,F67,->,F61
55,F67,->,F77
56,F73,->,F55
57,F73,->,F11
58,F73,->,F23
59,F80,->,F97
60,F80,->,F33
61,F91,->,F19
62,F91,->,F96
63,F91,->,F67
64,F91,->,F71
65,F91,->,F81
66,F99,->,F106
67,F105,->,F99
68,F105,->,F102
69,F102,->,F18
70,F102,->,F101
71,F106,->,F91
72,F106,->,F103
73,F107,->,F10
74,F107,->,F44
75,F107,->,F46
