ID,Variable 1,Dependency,Variable 2
1,Fault,->,F1
2,Fault,->,F2
3,Fault,->,F3
4,Fault,->,F4
5,Fault,->,F53
6,Fault,->,F6
7,Fault,->,F7
8,Fault,->,F56
9,Fault,->,F8
10,Fault,->,F9
11,Fault,->,F10
12,Fault,->,F55
13,Fault,->,F52
14,Fault,->,F11
15,Fault,->,F13
16,Fault,->,F14
17,Fault,->,F16
18,Fault,->,F18
19,Fault,->,F19
20,Fault,->,F20
21,Fault,->,F90
22,Fault,->,F22
23,Fault,->,F23
24,Fault,->,F24
25,Fault,->,F25
26,Fault,->,F26
27,Fault,->,F27
28,Fault,->,F28
29,Fault,->,F92
30,Fault,->,F30
31,Fault,->,F31
32,Fault,->,F32
33,Fault,->,F33
34,Fault,->,F34
35,Fault,->,F35
36,Fault,->,F36
37,Fault,->,F37
38,Fault,->,F96
39,Fault,->,F38
40,Fault,->,F39
41,Fault,->,F40
42,Fault,->,F42
43,Fault,->,F43
44,Fault,->,F45
45,Fault,->,F46
46,Fault,->,F47
47,Fault,->,F49
48,Fault,->,F50
49,Fault,->,F51
50,Fault,->,F83
51,Fault,->,F54
52,Fault,->,F57
53,Fault,->,F58
54,Fault,->,F59
55,Fault,->,F60
56,Fault,->,F61
57,Fault,->,F63
58,Fault,->,F64
59,Fault,->,F65
60,Fault,->,F66
61,Fault,->,F67
62,Fault,->,F70
63,Fault,->,F71
64,Fault,->,F73
65,Fault,->,F74
66,Fault,->,F75
67,Fault,->,F76
68,Fault,->,F77
69,Fault,->,F79
70,Fault,->,F80
71,Fault,->,F81
72,Fault,->,F82
73,Fault,->,F91
74,Fault,->,F94
75,Fault,->,F95
76,Fault,->,F99
77,Fault,->,F100
78,Fault,->,F105
79,Fault,->,F101
80,Fault,->,F104
81,Fault,->,F107
82,F97,->,F18
83,F97,->,F21
84,F97,->,F30
85,F97,->,F42
86,F2,->,F78
87,F2,->,F5
88,F2,->,F102
89,F2,->,F103
90,F2,->,F106
91,F78,->,F97
92,F4,->,F78
93,F4,->,F3
94,F53,->,F6
95,F53,->,F61
96,F8,->,F53
97,F10,->,F69
98,F16,->,F15
99,F44,->,F78
100,F44,->,F107
101,F20,->,F31
102,F20,->,F84
103,F20,->,F85
104,F20,->,F86
105,F90,->,F21
106,F22,->,F21
107,F26,->,F87
108,F26,->,F89
109,F27,->,F12
110,F92,->,F78
111,F92,->,F29
112,F92,->,F103
113,F30,->,F5
114,F30,->,F74
115,F31,->,F87
116,F31,->,F88
117,F31,->,F89
118,F32,->,F56
119,F37,->,F15
120,F84,->,F86
121,F96,->,F84
122,F96,->,F38
123,F96,->,F39
124,F96,->,F40
125,F96,->,F83
126,F96,->,F87
127,F96,->,F94
128,F96,->,F107
129,F39,->,F20
130,F39,->,F84
131,F39,->,F62
132,F85,->,F86
133,F48,->,Fault
134,F48,->,F44
135,F48,->,F50
136,F48,->,F82
137,F48,->,F88
138,F48,->,F89
139,F50,->,F47
140,F50,->,F49
141,F61,->,F62
142,F67,->,F12
143,F86,->,F70
144,F76,->,F5
145,F82,->,F85
146,F87,->,F88
147,F87,->,F89
148,F89,->,F88
149,F91,->,F21
150,F91,->,F102
151,F91,->,F103
152,F91,->,F106
153,F95,->,F72
154,F99,->,F2
155,F99,->,F4
156,F99,->,F69
157,F99,->,F100
158,F99,->,F105
159,F99,->,F103
160,F99,->,F104
161,F99,->,F106
162,F105,->,F101
163,F101,->,F102
